company,year,scope1_value,scope1_unit,scope1_confidence,scope1_note,scope2_market_value,scope2_market_unit,scope2_market_confidence,scope2_note,assurance,assurance_provider,assurance_level,assurance_confidence,target,target_year,baseline_year,target_confidence,target_note
Amazon,2021,12.11,mmt CO₂e,high,Found in the Carbon Footprint Data section on Page 97.,4.07,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the sustainability report.,False,,,low,net-zero carbon emissions,2040,,high,Amazon is committed to reaching net-zero carbon emissions across its operations by 2040.
Amazon,2022,,,none,No relevant pages found,,,none,No Scope 2 market-based emissions found in the provided text.,False,,,low,Reduce food waste by 50%,2030,,high,The target is clearly stated with a specific percentage and year.
Amazon,2023,14.27,MMT CO₂e,high,Total Scope 1 emissions for 2023 found in the emissions category table.,2.79,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the report.,True,Amazon,reasonable,high,net-zero carbon emissions,2040,,high,Amazon aims to achieve net-zero carbon emissions by 2040.
BP,2021,33.2,MtCO₂e,high,Total Scope 1 emissions for 2021 found in the report.,2.4,MtCO₂e,high,Scope 2 market-based emissions reported as 2.4 MtCO₂e.,False,,,low,net zero,2050,,high,The company aims to achieve net zero emissions by 2050 or sooner.
BP,2022,30.4,MtCO₂e,high,Total Scope 1 emissions for the reporting year found on Page 25.,1.5,MtCO2e,high,Scope 2 market-based emissions reported as 1.5 MtCO2e.,False,,,low,net zero,2050,2019,high,"The company aims to achieve net zero emissions across its operations by 2050 or sooner, with a baseline year of 2019."
BP,2023,31.1,MtCOe,high,Total Scope 1 emissions for 2023 found on Page 23.,1.0,MtCO2e,high,Extracted Scope 2 market-based GHG emissions value.,False,,,low,net zero,2050,2019,high,"The company aims to achieve net zero operational greenhouse gas emissions by 2050 or sooner, with a baseline year of 2019."
Coca Cola,2021,325833,mt CO₂e,high,"Found in the CDP reporting section, specifically under Scope 1 emissions.",3.88,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the report.,True,Ernst & Young LLP,limited,high,25% reduction,2030,2015,high,The target is to reduce absolute greenhouse gas emissions by 25% by 2030 against a 2015 baseline.
Coca Cola,2022,4400000,mtCO₂e,high,Scope 1 emissions for 2022 were explicitly stated as 4.4 million metric tons.,3.44,mtCO₂e,high,Scope 2 market-based emissions value extracted from the report.,True,null,reasonable,high,reduce absolute emissions by 25%,2030,2015,high,The target is clearly stated with a specific percentage reduction and a baseline year.
Coca Cola,2023,292106,tCO₂e,high,Found in the Scope 1 row under 'Reported Manufacturing Emissions in CDP'.,3.34,mtCO₂e,high,Extracted Scope 2 market-based emissions for the year 2023.,True,,reasonable,high,,,,none,No specific GHG emission reduction targets were mentioned in the provided text.
ENGIE,2021,38.6,mt CO₂e,high,Total Scope 1 emissions for the year 2020 found in the environmental indicators table on page 58.,,,none,Only location-based found,False,,,low,52% reduction in the rate of emissions per kWh from energy production and 34% reduction in emissions related to the use of products sold,2030,2017,high,"ENGIE has set ambitious decarbonization targets certified by the SBTI, focusing on significant reductions in emissions by 2030."
